date,maximum_atmospheric_pressure,minimum_atmospheric_pressure,precipitation,maximum_air_temperature,minimum_air_temperature,maximum_relative_humidity,minimum_relative_humidity,total_solar_radiation,maximum_temperature,minimum_temperature,average_air_temperature,average_relative_humidity,wind_speed,total_solar_radiation.1
2017-05-04,609.8749750000001,599.9433958333333,3.2067488333333336,26.605583333333332,25.299583333333334,87.64575,81.08800000000001,1963.5159583333334,23.46259875,22.228399999999997,25.900454999999997,84.620395,0.5820052587916666,5.4542110416666665
2017-05-05,609.4200333333333,599.8655583333333,0.0,27.101208333333332,25.606041666666666,85.72795833333333,78.42212500000001,1960.3429583333334,23.212313750000003,21.9485,26.382695,81.64522875,0.5124537688875,5.4453972083333335
2017-05-06,607.8397291666666,599.881825,0.0,26.6905,24.963875,87.06158333333333,79.50541666666668,1951.0197500000002,23.11313875,21.7036025,25.8421275,83.05592625,0.506710046125,5.419499291666667
2017-05-07,607.8909708333333,599.9042375,0.0,27.489583333333332,26.109291666666667,86.47325000000001,80.30479166666667,1919.8843749999999,24.116693333333334,23.02208333333333,26.7994175,83.49838208333334,0.5638714230916667,5.3330119583333335
2017-05-08,615.1438541666666,599.7667291666667,1.2488329166666667,26.425250000000002,25.146333333333335,93.31020833333334,87.9535,1906.1010416666668,24.439095416666664,23.593339583333332,25.731906249999998,90.75631541666667,0.5482464864583333,5.294725041666667
2017-05-09,610.4999833333333,599.831725,0.3175000416666667,26.398083333333332,25.3595,92.72783333333332,88.53583333333334,2114.6679583333334,24.622829166666666,23.681436666666666,25.81984291666667,90.76311541666666,0.7297134936666666,5.874077458333333
2017-05-10,610.4263333333333,599.7886083333334,0.0,27.270291666666665,25.94995833333333,89.12225000000001,83.4265,2152.052416666667,24.435840833333334,23.500460416666666,26.585998333333333,86.39538958333333,0.5666434745,5.97792325
2017-05-11,613.2196375,599.8411541666667,0.0,28.06958333333333,26.590833333333332,85.62045833333333,79.03908333333334,2124.362125,24.395134166666665,23.24210583333333,27.286640416666668,82.37112833333333,0.492766157375,5.901006249999999
2017-05-12,612.0940333333333,599.8229666666667,0.0,27.536583333333336,26.187291666666667,85.70291666666667,79.13375,2107.371541666667,23.841677083333334,22.77414625,26.840358750000004,82.40334791666668,0.4732292093333333,5.853809625
2017-05-13,609.5843458333334,599.9314499999999,0.0,27.338624999999997,25.798625,86.5305,79.97433333333333,1952.3237916666667,23.818304166666667,22.664547499999998,26.5408075,83.39850708333334,0.4005757796666667,5.423121416666667
2017-05-14,610.4278583333333,599.881075,0.0,27.809583333333336,26.159625000000002,84.13291666666667,77.06745833333333,2045.3495,23.631990416666667,22.393750416666666,26.95836875,80.5346825,0.53488426375,5.681526166666667
2017-05-15,611.2575166666667,599.7889875,0.0,27.615708333333334,26.071166666666667,86.933125,80.28095833333333,1956.6964583333336,24.013291249999998,23.04651,26.74711333333333,83.85521083333333,0.6414207158333334,5.43526825
2017-05-16,614.1671916666667,599.8034916666667,0.0,27.422875,25.994,84.71625,78.93254166666667,1956.5302083333333,23.44708125,22.429198333333332,26.686652499999997,81.8378775,0.8311168962083334,5.434806125000001
2017-05-17,614.4807125,599.8072958333333,0.0,27.8785,26.49354166666667,85.03829166666667,78.78945833333334,2039.6372916666667,24.005615833333334,22.930746666666668,27.1806225,81.92734125,0.8274420904166666,5.665658791666666
2017-05-18,613.6020916666666,599.78835,0.4656666666666667,27.62708333333333,26.325374999999998,87.21708333333333,81.81229166666667,2160.788708333333,24.31006125,23.338227083333333,26.955482083333333,84.63947541666667,0.8780295752916666,6.002190875
2017-05-19,616.1044958333333,599.7814833333333,0.0,27.963083333333334,26.67925,84.78854166666666,79.02554166666667,2218.20375,23.967350416666665,23.080367083333332,27.344225833333336,81.8504475,1.0902546,6.161677083333333
